,game_title, genre, platforms, developers,release_year,release_month,release_day,average_metascore_ratings
6680,Deca Sports Extreme,Olympic Sports|Sports|Athletics|Individual,3DS,Hudson Soft,2011,9,13,52.0
6681,Fire Emblem: Awakening,Turn-Based|Strategy|Tactics|Fantasy,3DS,Intelligent Systems,2013,2,4,92.0
6682,Fire Emblem Fates: Special Edition,Turn-Based|Strategy|Tactics,3DS,Intelligent Systems,2016,2,19,88.0
6683,Fire Emblem Fates: Revelation,Turn-Based|Strategy|Tactics,3DS,Intelligent Systems,2016,3,10,88.0
6684,Fire Emblem Fates: Conquest,Strategy|Fantasy|Turn-Based|Tactics,3DS,Intelligent Systems,2016,2,19,87.0
6685,Fire Emblem Fates: Birthright,Turn-Based|Strategy|Tactics,3DS,Intelligent Systems,2016,2,19,86.0
6686,Fire Emblem Echoes: Shadows of Valentia,Turn-Based|Strategy|Tactics,3DS,Intelligent Systems,2017,5,19,81.0
6687,Stella Glow,Turn-Based|Strategy|General,3DS,Image Epoch| Imageepoch,2015,11,17,79.0
6688,Story of Seasons,Strategy|General|Breeding/Constructing,3DS,Marvelous AQL,2015,3,31,76.0
6689,Story of Seasons: Trio of Towns,Management|Strategy|Business / Tycoon,3DS,Marvelous Inc.,2017,2,28,74.0
6690,Harvest Moon 3D: A New Beginning,General|Breeding/Constructing|Strategy|Management|Business / Tycoon,3DS,Marvelous AQL,2012,11,6,74.0
6691,Project X Zone 2,Turn-Based|Strategy|Tactics,3DS,Monolith Soft,2016,2,16,73.0
6692,Return to PoPoLoCrois: A Story of Seasons Fairytale,Strategy|General,3DS,Marvelous Inc.,2016,3,1,72.0
6693,Unholy Heights,Strategy|General,3DS|PC|PlayStation 4|Switch,Petit Depotto,2016,6,23,71.0
6694,Mercenaries Saga 2: Order Of The Silver Eagle,Turn-Based|Strategy|Tactics,3DS|iPhone/iPad,RideonJapan|Inc.| Ride On,2015,7,2,70.0
6695,Project X Zone,Turn-Based|Strategy|Tactics|Fantasy,3DS,Monolith Soft| Banpresto,2013,6,25,70.0
6696,Code Name: S.T.E.A.M.,Strategy|Sci-Fi|Turn-Based|Tactics,3DS,Intelligent Systems,2015,3,13,69.0
6697,Lord of Magna: Maiden Heaven,Turn-Based|Strategy|General|Fantasy,3DS,Marvelous Inc.,2015,6,2,68.0
6698,Harvest Moon 3D: The Tale of Two Towns,General|Breeding/Constructing|Strategy|Management|Business / Tycoon,3DS,Marvelous Entertainment,2011,11,1,63.0
6699,Harvest Moon: Skytree Village,Management|Strategy|General|Business / Tycoon,3DS,Natsume,2016,11,8,59.0
6700,Yu-Gi-Oh! Zexal: World Duel Carnival,Miscellaneous|Turn-Based|Strategy|Card Battle,3DS,Konami,2014,9,25,52.0
6701,Cocoro: Line Defender,Strategy|General|Defense|Real-Time,3DS,Moving Player,2014,6,26,47.0
6702,Harvest Moon 3D: The Lost Valley,General|Breeding/Constructing|Strategy|Management|Business / Tycoon,3DS,Natsume,2014,11,4,46.0
6703,Gardening Mama 2: Forest Friends,Simulation|Career|General|Virtual|Strategy,3DS,Racjin,2014,4,29,43.0
6704,RollerCoaster Tycoon 3D,Management|Tycoon|Strategy|Business / Tycoon,3DS,n-Space,2012,10,16,39.0
6705,Legna Tactica,Turn-Based|Strategy|Tactics,3DS|iPhone/iPad,Hit-Point Co.| Ltd.,2017,2,2,53.0
6706,LittleBigPlanet PS Vita,3D|Platformer|Action,PlayStation Vita,Tarsier Studios| Double Eleven,2012,9,18,88.0
6707,Guacamelee!,2D|Platformer|Action,PlayStation Vita|PlayStation 3,DrinkBox Studios,2013,4,9,87.0
6708,Velocity Ultra,Action|Shooter|General|Shoot-'Em-Up|Scrolling|Vertical,PlayStation Vita|PC|PlayStation 3,FuturLab,2013,7,2,87.0
6709,Mortal Kombat,2D|3D|Action|Fighting,PlayStation Vita|PlayStation 3|Xbox 360,NetherRealm Studios,2012,5,1,85.0
6710,TxK,Action|Shooter|Shoot-'Em-Up|Static|Top-Down,PlayStation Vita,Llamasoft,2014,2,11,84.0
6711,Gravity Rush,Action Adventure|Action|Open-World|Platformer|3D,PlayStation Vita,SCE Japan Studio,2012,6,12,83.0
6712,Super Stardust Delta,Action|Shooter|General|Shoot-'Em-Up|Static|Top-Down,PlayStation Vita,Housemarque,2012,2,14,82.0
6713,Fuel Tiracas,General|Action,PlayStation Vita,FuturLab,2012,10,3,82.0
6714,DJMax Technika Tune,Miscellaneous|Rhythm|Action|Music,PlayStation Vita,Pentavision Entertainment| Neowiz Corporation,2012,12,4,81.0
6715,Gunslugs,General|Action,PlayStation Vita|3DS|iPhone/iPad|PC,Abstraction Games,2014,2,18,81.0
6716,Hatsune Miku: Project Diva f,Miscellaneous|Rhythm|Action|Music,PlayStation Vita|PlayStation 3,Sega,2014,3,4,81.0
6717,Hatsune Miku: Project Diva F 2nd,Miscellaneous|Rhythm|Action|Music,PlayStation Vita|PlayStation 3,Sega,2014,11,18,81.0
6718,Laser Disco Defenders,Top-Down|Shooter|Action|Shoot-'Em-Up,PlayStation Vita|PC|PlayStation 4,Out of Bounds,2016,8,2,80.0
6719,Dead or Alive 5 Plus,3D|Action|Fighting,PlayStation Vita|PlayStation 3|Xbox 360,Team Ninja,2013,3,19,80.0
6720,Air Race Speed,Racing|Futuristic|Action|Arcade|General,PlayStation Vita|iPhone/iPad,QubicGames,2016,12,20,79.0
6721,Switch Galaxy,Arcade|Action|Flight,PlayStation Vita,Atomicom,2013,3,6,79.0
6722,OMG HD Zombies!,General|Action,PlayStation Vita,Laughing Jackal,2013,10,29,78.0
6723,Stealth Inc: A Clone in the Dark,2D|Platformer|Action,PlayStation Vita|iPhone/iPad|PlayStation 3,Curve Studios,2013,7,23,78.0
6724,Killzone: Mercenary,Action|Arcade|Shooter|Sci-Fi|First-Person,PlayStation Vita,Guerilla Cambridge,2013,9,10,78.0
6725,Surge Deluxe,Miscellaneous|Puzzle|Action,PlayStation Vita,FuturLab,2014,2,4,77.0
6726,Soul Sacrifice,General|Action RPG|Action|Role-Playing,PlayStation Vita,SCE Japan Studio| comcept,2013,4,30,77.0
6727,Dragon's Crown,2D|Action|Role-Playing|Action RPG|Beat-'Em-Up,PlayStation Vita|PlayStation 3|PlayStation 4,Vanillaware,2013,8,6,77.0
6728,Floating Cloud God Saves the Pilgrims in HD!,Action|Shooter|Shoot-'Em-Up|Scrolling|Vertical,PlayStation Vita,Dakko Dakko,2013,8,27,77.0
6729,PulzAR,General|Miscellaneous|Puzzle|Action,PlayStation Vita,XDEV,2012,6,12,77.0
6730,Persona 4: Dancing All Night,Miscellaneous|Rhythm|Action|Music,PlayStation Vita|PlayStation 4,Atlus| Dingo Inc.,2015,9,29,76.0
6731,Rocketbirds: Hardboiled Chicken,2D|Action|General|Adventure|Platformer,PlayStation Vita|PC|PlayStation 3,Ratloop Asia Pte Ltd,2013,2,12,76.0
6732,Heroes of Loot,Action Adventure|Action|Role-Playing|Linear|General|Action RPG,PlayStation Vita|iPhone/iPad|PC,OrangePixel,2015,9,22,80.0
6733,Sayonara UmiharaKawase +,2D|Platformer|Action,PlayStation Vita|PC,Studio Saizensen,2015,4,21,76.0
6734,A Rose in the Twilight,2D|Platformer|Action,PlayStation Vita|PC,Nippon Ichi Software,2017,4,11,75.0
6735,Dengeki Bunko: Fighting Climax,2D|Action|Fighting,PlayStation Vita|PlayStation 3,Sega| French-Bread,2015,10,6,75.0
6736,Son of Scoregasm,Top-Down|Shooter|Action|Shoot-'Em-Up,PlayStation Vita|PC,Charlie's Games,2017,10,11,75.0
6737,Gravity Crash Ultra,Action|Shooter|Shoot-'Em-Up|Scrolling|Top-Down,PlayStation Vita,Just Add Water,2014,8,12,75.0
6738,PlayStation All-Stars Battle Royale,2D|Action|Fighting,PlayStation Vita|PlayStation 3,Bluepoint Games,2012,11,20,75.0
6739,When Vikings Attack!,General|Action,PlayStation Vita|PlayStation 3,Clever Beans,2012,11,6,73.0
6740,Baboon!,2D|Platformer|Action,PlayStation Vita|PlayStation 4,Relevo,2015,1,28,73.0
6741,Haunt the House: Terrortown,General|Action,PlayStation Vita|iPhone/iPad|PC,SFB Games,2013,1,9,73.0
6742,Earth Defense Force 2: Invaders From Planet Space,Arcade|Shooter|Action|Third-Person,PlayStation Vita,Sandlot,2015,12,8,72.0
6743,Oddworld: Munch's Oddysee HD,2D|Action Adventure|Action|General|Sci-Fi|Platformer|3D,PlayStation Vita|PlayStation 3,Just Add Water,2014,12,16,72.0
6744,Superdimension Neptune VS Sega Hard Girls,General|Japanese-Style|Action|Role-Playing,PlayStation Vita|PC,Compile Heart,2016,10,18,72.0
6745,Open Me!,General|Action,PlayStation Vita,SCEI,2013,8,13,72.0
